Район,Улица,Станция метро,"Время до метро, мин.",Количество комнат,"Общая площадь, м.кв.","Жилая площадь, м.кв.",Цена,Год постройки,Тип дома,Этаж,Количество этажей в доме,"Площадь кухни, м.кв.",Количество санузлов,Тип ремонта,Количество подъездов в доме
Хамовники, ул. Ефремова,Фрунзенская,6,2,78.0,-,102999000,-,Монолитно-кирпичный,7,12,10.2,2,Евроремонт,-
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,116.8,-,120000000,2023,-,5,21,-,2,Евроремонт,1
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,116.78,-,120000000,2023,-,5,21,-,2,Евроремонт,1
Пресненский, ул. Костикова,Улица 1905 года,9,2,51.0,-,52000000,2023,-,3,21,-,1,Евроремонт,-
Головинский, ул. Лавочкина,Водный стадион,4,2,44.0,27.0,10000000,1968,Панельный,8,9,7.0,1,Без ремонта,8
Мещанский, Рождественский бул.,Трубная,4,3,140.0,100.0,227576030,1903,Кирпичный,2,4,26.0,2,-,4
Хамовники, ул. Усачева,Спортивная,8,3,99.9,-,160000000,2022,Монолитный,3,15,-,2,Евроремонт,4
Хорошево-Мневники, Карамышевская наб.,Народное Ополчение,13,2,40.0,18.0,14400000,1962,Блочный,8,9,10.0,1,Дизайнерский,1
Хамовники, ул. Усачева,Спортивная,6,2,95.0,-,166990000,2022,Монолитный,7,14,-,3,Евроремонт,4
Пресненский, Малая Бронная ул.,Маяковская,10,3,110.5,61.0,99000000,1912,Кирпичный,2,6,15.0,2,Евроремонт,1
Гольяново, Уральская ул.,Щёлковская,2,1,39.0,18.0,9750000,1967,Блочный,12,12,7.1,1,Косметический,2
Пресненский, Шмитовский проезд,Шелепиха,14,3,100.0,54.0,50000000,2023,Монолитный,6,15,26.0,1,Евроремонт,11
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,2,54.0,-,61800000,2023,-,10,21,-,1,Евроремонт,1
Люблино, Высотный проезд,Люблино,5,2,43.0,24.0,13700000,1971,Блочный,6,14,6.5,1,Дизайнерский,1
Арбат, Малый Новопесковский пер.,Смоленская,6,3,183.9,-,275471700,2006,Кирпичный,3,16,19.0,2,Дизайнерский,1
Тверской, 1-й Колобовский пер.,Трубная,5,3,200.8,-,168208370,2005,Монолитно-кирпичный,5,6,20.4,2,Дизайнерский,2
Кузьминки, Зеленодольская ул.,Кузьминки,11,2,37.1,22.0,13490000,1963,Блочный,4,9,8.0,1,Дизайнерский,1
Пресненский, Шмитовский проезд,Шелепиха,4,2,63.0,30.0,36000000,2019,Монолитный,38,52,26.0,1,Евроремонт,7
Хамовники, пер. Хилков,Парк Культуры,5,2,127.4,-,189000000,2008,Монолитный,3,6,-,2,Евроремонт,2
Ясенево, проезд Карамзина,Ясенево,20,3,68.3,53.0,15500000,1977,-,8,9,6.0,1,Дизайнерский,17
Хамовники, ул. Усачева,Спортивная,8,3,119.5,46.2,155350000,2022,Монолитный,8,15,13.3,3,Без ремонта,4
