Район,Улица,Станция метро,"Время до метро, мин.",Количество комнат,"Общая площадь, м.кв.","Жилая площадь, м.кв.",Цена,Год постройки,Тип дома,Этаж,Количество этажей в доме,"Площадь кухни, м.кв.",Количество санузлов,Тип ремонта,Количество подъездов в доме
Хамовники, ул. Ефремова,Фрунзенская,6,2,78.0,24,102999000.0,2003,Монолитно-кирпичный,7,12,10,2,Евроремонт,3
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,116.8,24,120000000.0,2023,,5,21,10,2,Евроремонт,1
Пресненский, ул. Костикова,Улица 1905 года,9,2,51.0,24,52000000.0,2023,,3,21,10,1,Евроремонт,3
Головинский, ул. Лавочкина,Водный стадион,4,2,44.0,27,10000000.0,1968,Панельный,8,9,7,1,Без ремонта,8
Мещанский, Рождественский бул.,Трубная,4,3,140.0,100,227576030.0,1903,Кирпичный,2,4,26,2,,4
Хамовники, ул. Усачева,Спортивная,8,3,99.9,24,160000000.0,2022,Монолитный,3,15,10,2,Евроремонт,4
Хорошево-Мневники, Карамышевская наб.,Народное Ополчение,13,2,40.0,18,14400000.0,1962,Блочный,8,9,10,1,Дизайнерский,1
Хамовники, ул. Усачева,Спортивная,6,2,95.0,24,166990000.0,2022,Монолитный,7,14,10,3,Евроремонт,4
Пресненский, Малая Бронная ул.,Маяковская,10,3,110.5,61,99000000.0,1912,Кирпичный,2,6,15,2,Евроремонт,1
Гольяново, Уральская ул.,Щёлковская,2,1,39.0,18,9750000.0,1967,Блочный,12,12,7,1,Косметический,2
Пресненский, Шмитовский проезд,Шелепиха,14,3,100.0,54,50000000.0,2023,Монолитный,6,15,26,1,Евроремонт,11
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,2,54.0,24,61800000.0,2023,,10,21,10,1,Евроремонт,1
Люблино, Высотный проезд,Люблино,5,2,43.0,24,13700000.0,1971,Блочный,6,14,6,1,Дизайнерский,1
Арбат, Малый Новопесковский пер.,Смоленская,6,3,183.9,24,275471700.0,2006,Кирпичный,3,16,19,2,Дизайнерский,1
Тверской, 1-й Колобовский пер.,Трубная,5,3,200.8,24,168208370.0,2005,Монолитно-кирпичный,5,6,20,2,Дизайнерский,2
Кузьминки, Зеленодольская ул.,Кузьминки,11,2,37.1,22,13490000.0,1963,Блочный,4,9,8,1,Дизайнерский,1
Пресненский, Шмитовский проезд,Шелепиха,4,2,63.0,30,36000000.0,2019,Монолитный,38,52,26,1,Евроремонт,7
Хамовники, пер. Хилков,Парк Культуры,5,2,127.4,24,189000000.0,2008,Монолитный,3,6,10,2,Евроремонт,2
Ясенево, проезд Карамзина,Ясенево,20,3,68.3,53,15500000.0,1977,,8,9,6,1,Дизайнерский,17
Хамовники, ул. Усачева,Спортивная,8,3,119.5,46,155350000.0,2022,Монолитный,8,15,13,3,Без ремонта,4
Хамовники, ул. Усачева,Спортивная,8,3,138.57,24,159355500.0,2022,Монолитный,8,15,11,2,Без ремонта,4
Мещанский, ул. Гиляровского,Проспект Мира,6,1,65.2,40,35000000.0,2003,Кирпичный,10,14,10,1,Дизайнерский,6
Хамовники, ул. Усачева,Спортивная,10,3,170.0,108,190000000.0,2003,Монолитно-кирпичный,4,6,13,3,Без ремонта,3
Хамовники, ул. Усачева,Спортивная,8,3,138.57,24,159355000.0,2022,Монолитный,8,15,11,2,Без ремонта,4
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,12,3,90.0,55,33600000.0,2012,Монолитный,2,24,12,1,Дизайнерский,6
Тверской, 1-я Тверская-Ямская ул.,Белорусская,5,2,55.7,24,40000000.0,1954,Кирпичный,8,9,8,1,Дизайнерский,4
Хамовники, ул. Усачева,Спортивная,10,2,129.5,39,147800000.0,2003,Монолитно-кирпичный,5,14,58,2,Без ремонта,3
Арбат, ул. Арбат,Смоленская,3,3,81.0,66,50000000.0,1910,Кирпичный,8,8,10,1,Дизайнерский,3
Хамовники, ул. Усачева,Спортивная,9,3,107.5,24,160500000.0,2003,Монолитно-кирпичный,6,13,13,3,Евроремонт,3
Хамовники, ул. Усачева,Спортивная,6,3,152.2,24,155000000.0,2022,Монолитный,2,8,10,3,Без ремонта,4
Черемушки, ул. Цюрупы,Новые Черёмушки,9,1,33.0,19,10540000.0,1976,Панельный,8,9,7,1,Косметический,4
Хамовники, ул. Усачева,Спортивная,6,3,118.71,70,135000000.0,2022,Монолитный,3,11,18,3,Без ремонта,4
Пресненский, Леонтьевский пер.,Тверская,9,3,150.8,24,219580001.0,2006,,4,5,10,3,Дизайнерский,5
Некрасовка, просп. Защитников Москвы,Некрасовка,11,2,54.0,29,13800000.0,2012,Панельный,2,17,9,1,Дизайнерский,5
Хамовники, ул. Усачева,Спортивная,9,3,107.0,43,160500000.0,2003,Монолитно-кирпичный,6,12,13,2,Дизайнерский,3
Хамовники, ул. Остоженка,Кропоткинская,6,3,179.0,36,246547172.0,2012,Монолитно-кирпичный,4,6,75,3,Без ремонта,5
поселение, ул. Харлампиева,Филатов Луг,13,2,57.0,24,10400000.0,2020,Монолитный,6,12,10,1,Евроремонт,2
Хамовники, ул. Ефремова,Фрунзенская,6,3,155.0,24,233000000.0,2003,Монолитно-кирпичный,3,14,10,3,Без ремонта,3
Пресненский, Шмитовский проезд,Шелепиха,14,3,71.0,27,41000000.0,2023,Монолитный,12,35,30,1,Дизайнерский,11
